a,b,c,d
阿,亞,,
阿嬭,阿㜷,,
庵,𤲅,,
俺,咱,,
冰,氷,𫥇,
幷,并,,
插,挿,,
場,塲,,
趁,贃,賺,
充,𭀚,,
蟲,虫,,
窗,窓,,
床,牀,,
刺,莿,,
脞,莝,,
打疊,打揲,,
擔,担,,
睇,看,,
顛,顚,,
點,㸃,,
雕,鵰,,
豆,荳,,
鬥,鬦,,
番,畨,,
礬,𥐥,,
改,攺,,
槅,格,,
佝腰,痀腰,,
箍,篐,,
關,𨵿,,
罐,礶,,
果,菓,,
粿,餜,,
譁,嘩,,
回,囘,,
喙,嘴,,
伙頭,火頭,,
即,卽,,
几,𣏌,,
徛,企,,
囝,仔,,
骹,腳,脚,踋
叫,呌,,
劫,刧,,
咖喱,膠離,,
炕床,匟床,,
考,攷,,
闊,濶,,
裏,裡,,
另,叧,,
鎏,鎦,,
麻,蔴,,
袂,𠀾,𠁞,𣍐
蠓,蚊,,
覓,覔,,
暝,夜,,
摩,埋,,
目澀,目澁,目𥍆(U+25346),
孬,𪥸,,
呢,𦮴,,
儂,人,,
拍,打,,
爿,畔,,
滂沛,霶霈,,
匏桸,瓠𣟵(U+237F5),,
偏枯,㾫枯,,
強,强,,
牆,墻,,
青,靑,,
清,淸,,
泅,氽,,
嚷,讓,,
熱,爇,,
汝,你,,
澀,澁,,
生分,生份,,
濕,溼,,
算,𮅕,,
兔,兎,,
污,汚,,
毋,唔,,
閒,閑,,
嫌,𭒡,,
鄉,鄕,,
煙,烟,,
腰佝,腰痀,,
窯,窰,,
湧,涌,,
逾,踰,,
冤,寃,,
灶,竈,,
真,眞,,
鎮,鎭,,
值,値,,
眾,衆,,
諸娘,珠娘,,
豬,猪,,
桌,棹,,
斫,斲,,
𠢕(U+20895),賢,,
𡚸(U+216B8),𡜿(U+2173F),母,
𧧸,識,別,𰵬
䛩,詏,,
𩛌(U+296CC),䭄,嗜,
弓蕉,芎蕉,,
沙壩,沙埧,,
鯁,骾,,
尙,尚,,
粮,糧,,
郎,郞,,